date,gross_return,cost,net_return,turnover
2024-01-31,0.003470181371751835,0.00078,0.0026901813717518353,0.3
2024-02-29,0.02565599069603713,0.0007800000000000001,0.02487599069603713,0.30000000000000004
2024-03-29,-0.012830585753324745,0.0007799999999999998,-0.013610585753324744,0.29999999999999993
2024-04-30,-0.00840355227824312,0.0007799999999999998,-0.009183552278243119,0.29999999999999993
2024-05-31,-0.041129194444582406,0.0007800000000000001,-0.04190919444458241,0.30000000000000004
2024-06-28,0.008357390592464244,0.0007799999999999998,0.007577390592464244,0.29999999999999993
2024-07-31,-0.026663265684792305,0.0007799999999999998,-0.027443265684792304,0.29999999999999993
2024-08-30,-0.020898472377355218,0.00078,-0.021678472377355217,0.3
2024-09-30,0.013964902008478964,0.0007799999999999998,0.013184902008478964,0.29999999999999993
2024-10-31,0.02224657810031243,0.00078,0.021466578100312432,0.3
2024-11-29,-0.042139153742706444,0.0007799999999999998,-0.042919153742706447,0.29999999999999993
2024-12-31,-0.022451915812045073,0.0007799999999999998,-0.023231915812045072,0.29999999999999993
2025-01-31,-0.05119770690270896,0.0007799999999999997,-0.05197770690270896,0.2999999999999999
2025-02-28,0.0378622142572594,0.00078,0.0370822142572594,0.3
2025-03-31,-0.00812565346424496,0.0007800000000000001,-0.00890565346424496,0.30000000000000004
2025-04-30,-0.023927527617819237,0.00078,-0.024707527617819237,0.3
2025-05-30,-0.037310291299026785,0.00078,-0.03809029129902679,0.3
2025-06-30,-0.0035557575931175955,0.0007800000000000001,-0.004335757593117596,0.30000000000000004
2025-07-31,-0.0574503470067344,0.00078,-0.0582303470067344,0.3
2025-08-29,0.06080247338558327,0.0007799999999999998,0.060022473385583267,0.29999999999999993
2025-09-30,0.01578091271116415,0.00078,0.01500091271116415,0.3
2025-10-31,-0.06107196491873027,0.00078,-0.061851964918730275,0.3
2025-11-28,-0.01766966043161375,0.00078,-0.018449660431613748,0.3
