test_year,backend,train_start,train_end,validation_start,validation_end,train_samples,validation_samples,validation_rmse,validation_mae,validation_ic,test_rmse,test_mae,mean_monthly_ic,monthly_icir
2024,xgboost,2018-01-31,2022-12-30,2023-01-31,2023-11-30,720,132,0.06579801112992485,0.05459612633176342,-0.007533235589862506,0.07113086179343199,0.05630786942334001,0.001162436742907044,0.004995551187710566
2025,xgboost,2018-01-31,2023-12-29,2024-01-31,2024-11-29,864,132,0.06666414824745923,0.05330837830481802,0.07495850294670597,0.07696537255935729,0.0625471531402147,0.007720635559333979,0.03206113368358072
