strategy,year,net_return,sharpe,max_drawdown
ML,2024,-0.10748753636987995,-1.3690469614043352,-0.131487230496535
ML,2025,-0.150743314636144,-1.2372855626707306,-0.13621185758528864
Equal weight,2024,-0.03759729048357663,-0.38433351697026125,-0.0914680695673391
Equal weight,2025,-0.03585925618835595,-0.28077270492748146,-0.10759821282774762
ICIR weight,2024,0.09618276683738913,1.7543746457990248,-0.015803799856286105
ICIR weight,2025,0.11656928067865269,1.2873091078224534,-0.07377097959274892
Single: alpha005,2024,-0.012465571598229253,-0.13318544039641236,-0.06889783952438933
Single: alpha005,2025,-0.11059007009733424,-0.8194262706179112,-0.19010712358001391
