date,gross_return,cost,net_return,turnover
2024-01-31,0.04410598104365445,0.00078,0.04332598104365445,0.3
2024-02-29,-0.009073223380246498,0.0007799999999999998,-0.009853223380246497,0.29999999999999993
2024-03-29,0.014870952798963267,0.0007799999999999998,0.014090952798963267,0.29999999999999993
2024-04-30,-0.020319569313572337,0.00078,-0.021099569313572337,0.3
2024-05-31,-0.08806475580664111,0.00078,-0.08884475580664111,0.3
2024-06-28,0.008456578346608755,0.00078,0.007676578346608755,0.3
2024-07-31,0.013622947553886542,0.0007800000000000001,0.012842947553886543,0.30000000000000004
2024-08-30,-0.005264264741037848,0.00078,-0.006044264741037848,0.3
2024-09-30,0.020702399841560696,0.00078,0.019922399841560696,0.3
2024-10-31,-0.009715831852619795,0.0007799999999999998,-0.010495831852619795,0.29999999999999993
2024-11-29,0.004957861214160803,0.0007800000000000001,0.0041778612141608025,0.30000000000000004
2024-12-31,-0.02547974633975307,0.0007800000000000002,-0.02625974633975307,0.3000000000000001
2025-01-31,0.07821213138826227,0.0007800000000000001,0.07743213138826227,0.30000000000000004
2025-02-28,-0.02148732784488129,0.0007800000000000001,-0.02226732784488129,0.30000000000000004
2025-03-31,-0.004838337731748521,0.0007800000000000001,-0.005618337731748521,0.30000000000000004
2025-04-30,0.08617690832089349,0.0007800000000000001,0.08539690832089349,0.30000000000000004
2025-05-30,0.038644846954814266,0.0007799999999999998,0.03786484695481426,0.29999999999999993
2025-06-30,0.017499547531001372,0.00078,0.016719547531001373,0.3
2025-07-31,-0.04500329605088662,0.0007800000000000001,-0.04578329605088662,0.30000000000000004
2025-08-29,-0.15361528840227706,0.0007799999999999998,-0.15439528840227706,0.29999999999999993
2025-09-30,-0.03467519361385159,0.00078,-0.03545519361385159,0.3
2025-10-31,-0.018304076643398344,0.0007799999999999998,-0.019084076643398343,0.29999999999999993
2025-11-28,-0.03754653443797325,0.0007799999999999998,-0.03832653443797325,0.29999999999999993
