date,spearman_ic
2024-01-31,-0.02097902097902098
2024-02-29,0.07692307692307693
2024-03-29,0.006993006993006993
2024-04-30,-0.25874125874125875
2024-05-31,-0.021015794050150388
2024-06-28,0.1398601398601399
2024-07-31,0.027972027972027972
2024-08-30,0.4545454545454546
2024-09-30,-0.18181818181818185
2024-10-31,0.25874125874125875
2024-11-29,-0.44055944055944063
2024-12-31,-0.027972027972027972
2025-01-31,0.017574936721114882
2025-02-28,0.2377622377622378
2025-03-31,-0.07355527917552636
2025-04-30,-0.029059225390358167
2025-05-30,-0.5453596448626616
2025-06-30,-0.14514388334752
2025-07-31,-0.13931770416603279
2025-08-29,0.24029618753167464
2025-09-30,0.24019223070763074
2025-10-31,0.030099445418124215
2025-11-28,0.25143768995399046
