test_year,backend,train_start,train_end,validation_start,validation_end,train_samples,validation_samples,validation_rmse,validation_mae,validation_ic,test_rmse,test_mae,mean_monthly_ic,monthly_icir
2024,xgboost,2018-01-31,2022-12-30,2023-01-31,2023-11-30,720,132,0.06559886691562632,0.053368051346394996,0.2189681509044478,0.07024751977890632,0.057016868165548566,0.1399984395549606,0.38614312573602894
2025,xgboost,2018-01-31,2023-12-29,2024-01-31,2024-11-29,864,132,0.06694364078142809,0.05336327947172866,-0.045965969913470586,0.07746598374433966,0.06307263932329013,-0.19988212119733137,-0.5945009618217195
