date,gross_return,cost,net_return,turnover
2024-01-31,0.023804960537216136,0.00078,0.023024960537216137,0.3
2024-02-29,0.0,0.00078,-0.00078,0.3
2024-03-29,0.03336689260289646,0.00078,0.032586892602896454,0.3
2024-04-30,0.0,0.00078,-0.00078,0.3
2024-05-31,0.02666064401758659,0.00078,0.02588064401758659,0.3
2024-06-28,0.0,0.00078,-0.00078,0.3
2024-07-31,0.0,0.0,0.0,0.0
2024-08-30,-0.013486655559125238,0.00078,-0.014266655559125237,0.3
2024-09-30,0.0,0.00078,-0.00078,0.3
2024-10-31,0.0,0.0,0.0,0.0
2024-11-29,0.0,0.0,0.0,0.0
2024-12-31,0.030144949677907318,0.00078,0.02936494967790732,0.3
2025-01-31,0.0,0.00078,-0.00078,0.3
2025-02-28,-0.02324614021126794,0.00078,-0.02402614021126794,0.3
2025-03-31,-0.02387921133725776,0.0007799999999999998,-0.02465921133725776,0.29999999999999993
2025-04-30,-0.0261954194841108,0.0007799999999999998,-0.0269754194841108,0.29999999999999993
2025-05-30,0.009337861524562516,0.0007800000000000001,0.008557861524562517,0.30000000000000004
2025-06-30,0.0149629654568944,0.0007800000000000001,0.014182965456894401,0.30000000000000004
2025-07-31,0.05911840010879163,0.0007800000000000001,0.05833840010879163,0.30000000000000004
2025-08-29,0.012421402180759405,0.0007799999999999998,0.011641402180759406,0.29999999999999993
2025-09-30,0.025311351891151176,0.0007799999999999998,0.024531351891151177,0.29999999999999993
2025-10-31,0.03531400985951155,0.0007799999999999998,0.03453400985951155,0.29999999999999993
2025-11-28,0.0401444732919748,0.0007799999999999998,0.039364473291974796,0.29999999999999993
