date,gross_return,cost,net_return,turnover
2024-01-31,0.004783335623850004,0.00078,0.004003335623850004,0.3
2024-02-29,-0.010314506422696448,0.0007799999999999998,-0.011094506422696448,0.29999999999999993
2024-03-29,0.009741014762547281,0.0007799999999999998,0.008961014762547282,0.29999999999999993
2024-04-30,0.024786719511402225,0.0007800000000000001,0.024006719511402225,0.30000000000000004
2024-05-31,0.0487133565603326,0.0007800000000000001,0.047933356560332596,0.30000000000000004
2024-06-28,-0.037055443626387095,0.00078,-0.0378354436263871,0.3
2024-07-31,-0.020932507905703536,0.00078,-0.021712507905703535,0.3
2024-08-30,0.023856150314610452,0.0007799999999999998,0.023076150314610452,0.29999999999999993
2024-09-30,-0.03038551998238475,0.00078,-0.03116551998238475,0.3
2024-10-31,0.01158760402100172,0.00078,0.010807604021001721,0.3
2024-11-29,0.018655961476413324,0.00078,0.017875961476413325,0.3
2024-12-31,-0.033843418257114316,0.00078,-0.03462341825711432,0.3
2025-01-31,-0.05294848116928333,0.00078,-0.05372848116928333,0.3
2025-02-28,-0.038114338719772434,0.0007799999999999998,-0.03889433871977244,0.29999999999999993
2025-03-31,-0.02790853433229043,0.0007799999999999998,-0.02868853433229043,0.29999999999999993
2025-04-30,-0.010977294718598686,0.0007799999999999998,-0.011757294718598685,0.29999999999999993
2025-05-30,0.024737327658306107,0.0007800000000000001,0.023957327658306108,0.30000000000000004
2025-06-30,-0.018113348700246685,0.0007800000000000001,-0.018893348700246684,0.30000000000000004
2025-07-31,-0.02176814340882715,0.0007800000000000001,-0.02254814340882715,0.30000000000000004
2025-08-29,-0.018317930534749987,0.00078,-0.019097930534749986,0.3
2025-09-30,0.01483874848306037,0.0007799999999999998,0.01405874848306037,0.29999999999999993
2025-10-31,0.00922492022229657,0.00078,0.00844492022229657,0.3
2025-11-28,-0.0024177868304173897,0.0007800000000000001,-0.0031977868304173896,0.30000000000000004
