test_year,backend,train_start,train_end,validation_start,validation_end,train_samples,validation_samples,validation_rmse,validation_mae,validation_ic,test_rmse,test_mae,mean_monthly_ic,monthly_icir
2024,xgboost,2018-01-31,2022-12-30,2023-01-31,2023-11-30,720,132,0.06695678759468018,0.05543014116564502,-0.2802455071747885,0.0679518980253656,0.05445702098347438,0.08354965996936854,0.3470083604777992
2025,xgboost,2018-01-31,2023-12-29,2024-01-31,2024-11-29,864,132,0.06675270480351612,0.053205032015211026,0.15208037336214053,0.07707324552884197,0.06280029347851043,0.10375576991791147,0.3642250815933616
