date,gross_return,cost,net_return,turnover
2024-01-31,-0.04410598104365445,0.00078,-0.04488598104365445,0.3
2024-02-29,0.02208598933232927,0.00078,0.02130598933232927,0.3
2024-03-29,-0.0398091127131907,0.0007799999999999998,-0.040589112713190705,0.29999999999999993
2024-04-30,-0.011265251748079153,0.0007800000000000001,-0.012045251748079152,0.30000000000000004
2024-05-31,-0.027189460397639167,0.0007800000000000001,-0.027969460397639166,0.30000000000000004
2024-06-28,-1.5302104338059484e-05,0.0007800000000000001,-0.0007953021043380596,0.30000000000000004
2024-07-31,-0.012340511350916615,0.00078,-0.013120511350916615,0.3
2024-08-30,0.03699208296761884,0.0007800000000000001,0.03621208296761884,0.30000000000000004
2024-09-30,0.029251226737890088,0.0007800000000000001,0.028471226737890088,0.30000000000000004
2024-10-31,0.007517671711094624,0.0007799999999999998,0.006737671711094625,0.29999999999999993
2024-11-29,0.0021825003090048495,0.0007799999999999998,0.0014025003090048496,0.29999999999999993
2024-12-31,0.01152069940761069,0.0007799999999999998,0.010740699407610691,0.29999999999999993
2025-01-31,0.009805046129591275,0.0007799999999999998,0.009025046129591275,0.29999999999999993
2025-02-28,-0.00685033957948492,0.0007799999999999998,-0.007630339579484919,0.29999999999999993
2025-03-31,0.0022026819376531857,0.0007800000000000001,0.0014226819376531856,0.30000000000000004
2025-04-30,-0.001355711833692124,0.00078,-0.002135711833692124,0.3
2025-05-30,0.0018869954111008602,0.00078,0.0011069954111008603,0.3
2025-06-30,-0.04072869251068209,0.0007800000000000001,-0.041508692510682094,0.30000000000000004
2025-07-31,0.0016799762918049653,0.0007800000000000002,0.0008999762918049651,0.3000000000000001
2025-08-29,0.02765289650402209,0.00078,0.02687289650402209,0.3
2025-09-30,-0.03213666567080829,0.00078,-0.032916665670808296,0.3
2025-10-31,-0.055684803799334846,0.00078,-0.05646480379933485,0.3
2025-11-28,0.07150528442187118,0.00078,0.07072528442187118,0.3
