regime_type,regime,strategy,observations,annual_return,sharpe,max_drawdown
trend,sideways,equal_weight,462,0.03923488740987424,0.5961062411174325,-0.10199878130314133
trend,sideways,timing_score,462,-0.012612213741099332,-0.060217669184264896,-0.18877319345720012
trend,sideways,top_k,462,0.02276826114791075,0.2795682590379967,-0.12851185455372094
trend,sideways,rank_weight,462,0.027524258991616923,0.3195999032670843,-0.136558047306366
trend,sideways,risk_weight,462,0.04911722305574817,0.750233434484567,-0.076117058102667
trend,bull,equal_weight,443,0.060997182708373954,1.0737330183299434,-0.07415651009466195
trend,bull,timing_score,443,0.2564223041774347,1.663572703236737,-0.1023970769995518
trend,bull,top_k,443,0.1897351773222089,1.4101437262857426,-0.09350895169141193
trend,bull,rank_weight,443,0.22158112284516762,1.6417986324245746,-0.08297572139992793
trend,bull,risk_weight,443,0.07438455164810542,1.2828144583055716,-0.07035707541408387
trend,bear,equal_weight,443,-0.02698565447346113,-0.2755105661018551,-0.12369977918233188
trend,bear,timing_score,443,-0.11624948763481369,-0.8928610888115383,-0.2391463034184511
trend,bear,top_k,443,-0.15547351150615307,-1.33684678830499,-0.30362738160324176
trend,bear,rank_weight,443,-0.13975733539273072,-1.1358266191811668,-0.2986150167468785
trend,bear,risk_weight,443,-0.04314185085592903,-0.5166368155557693,-0.1356263686881649
volatility,low_vol,equal_weight,679,0.005797765865146687,0.1269178039551418,-0.09605609930447201
volatility,low_vol,timing_score,679,0.05188008288268642,0.5118917583904369,-0.21113795092923504
volatility,low_vol,top_k,679,0.03199331629355928,0.38169570031075506,-0.16271873365497036
volatility,low_vol,rank_weight,679,0.08204551591021314,0.8646625967311239,-0.1708935966868137
volatility,low_vol,risk_weight,679,0.014702883451760851,0.27616473036461475,-0.0834955280360028
volatility,high_vol,equal_weight,669,0.04268780904405012,0.5528067200703316,-0.16249450870623872
volatility,high_vol,timing_score,669,0.00926471195239742,0.13583110553927244,-0.24340778620969428
volatility,high_vol,top_k,669,-0.01318182435465265,-0.02994278760291834,-0.24069852648741175
volatility,high_vol,rank_weight,669,-0.028032869076900502,-0.13922871121618974,-0.26763476049707535
volatility,high_vol,risk_weight,669,0.0372849984940784,0.5157727030437075,-0.14055850568383021
