total_cost_rate,rebalance_freq,strategy,annual_net_return,annual_excess_vs_equal,sharpe,max_drawdown,annual_turnover
0.0,D,equal_weight,0.023939874926388827,0.0,0.3673146730612675,-0.21595596029279762,0.0
0.0,D,timing_score,0.03948198175437745,0.015542106827988622,0.33424737127221643,-0.2445063342918543,54.300945447737895
0.0,D,top_k,0.06998088840250749,0.046041013476118664,0.5514460741458261,-0.23611278622929377,42.83988243145822
0.0,D,rank_weight,0.07253974318264933,0.0485998682562605,0.5957992040132726,-0.19956429397257147,49.83688964471792
0.0,D,risk_weight,0.03449237400269922,0.010552499076310395,0.5324000180426115,-0.18539103330696993,3.4252115950005013
0.0,W-FRI,equal_weight,0.023939874926388827,0.0,0.3673146730612675,-0.21595596029279762,0.0
0.0,W-FRI,timing_score,0.06122156328005213,0.0372816883536633,0.5279968009870705,-0.177516813933407,19.56128147294481
0.0,W-FRI,top_k,0.033391795980073136,0.009451921053684309,0.34036330594430175,-0.23524089251838975,15.696484416933407
0.0,W-FRI,rank_weight,0.05625404974634329,0.032314174819954466,0.5214161022209834,-0.20143851703851923,19.41712981191124
0.0,W-FRI,risk_weight,0.02896184391436596,0.005021968987977132,0.45166582014720114,-0.18691447682446294,2.02000339550806
0.0,ME,equal_weight,0.023939874926388827,0.0,0.3673146730612675,-0.21595596029279762,0.0
0.0,ME,timing_score,0.038966925933956675,0.015027051007567849,0.43696887040163407,-0.18277041734583843,5.359048908010813
0.0,ME,top_k,-0.052523570485593196,-0.07646344541198202,-0.5199328141919487,-0.42463610094353155,5.327893175074184
0.0,ME,rank_weight,-0.004749451639152968,-0.028689326565541795,-0.002514181435315285,-0.2838065899902733,5.770377321764744
0.0,ME,risk_weight,0.032167531065228516,0.00822765613883969,0.4903922731100961,-0.19137327181233954,1.3619076617629253
0.0005,D,equal_weight,0.023939874926388827,0.0,0.3673146730612675,-0.21595596029279762,0.0
0.0005,D,timing_score,0.011649592022713762,-0.012290282903675065,0.15216877852505287,-0.2588496866825831,54.300945447737895
0.0005,D,top_k,0.04731551563446512,0.023375640708076295,0.39918110165785253,-0.26291672797317833,42.83988243145822
0.0005,D,rank_weight,0.04616030317018893,0.022220428243800106,0.4075340375104332,-0.21501885565727563,49.83688964471792
0.0005,D,risk_weight,0.03272290566552738,0.008783030739138553,0.5072792653506304,-0.18674361963087738,3.4252115950005013
0.0005,W-FRI,equal_weight,0.023939874926388827,0.0,0.3673146730612675,-0.21595596029279762,0.0
0.0005,W-FRI,timing_score,0.05088644977729517,0.026946574850906346,0.4514134351792542,-0.18439847672191156,19.56128147294481
0.0005,W-FRI,top_k,0.02530694505573239,0.0013670701293435616,0.2727979055992265,-0.24001744589224838,15.696484416933407
0.0005,W-FRI,rank_weight,0.0460529922675319,0.022113117341143074,0.43948610318569975,-0.21819683307240234,19.41712981191124
0.0005,W-FRI,risk_weight,0.02792293185145378,0.003983056925064954,0.43686971464388585,-0.18769108947864055,2.02000339550806
0.0005,ME,equal_weight,0.023939874926388827,0.0,0.3673146730612675,-0.21595596029279762,0.0
0.0005,ME,timing_score,0.036187102264104265,0.012247227337715438,0.40980779451911875,-0.1847182564776162,5.359048908010813
0.0005,ME,top_k,-0.05504197360490837,-0.0789818485312972,-0.5481395593475595,-0.43120942943214624,5.327893175074184
0.0005,ME,rank_weight,-0.007614979976534486,-0.03155485490292331,-0.03286917627126361,-0.29284172980202794,5.770377321764744
0.0005,ME,risk_weight,0.031466432030570424,0.007526557104181597,0.4807314372465973,-0.19192405119670763,1.3619076617629253
0.001,D,equal_weight,0.023939874926388827,0.0,0.3673146730612675,-0.21595596029279762,0.0
0.001,D,timing_score,-0.015442562980897523,-0.03938243790728635,-0.030047704456411747,-0.330176463041982,54.300945447737895
0.001,D,top_k,0.02512478400974394,0.0011849090833551124,0.2467943051369194,-0.28878649754294194,42.83988243145822
0.001,D,rank_weight,0.02042470286597653,-0.003515172060412297,0.2190099369722995,-0.24609246395331918,49.83688964471792
0.001,D,risk_weight,0.030956383543299104,0.0070165086169102775,0.4821465635910269,-0.18809397470017597,3.4252115950005013
0.001,W-FRI,equal_weight,0.023939874926388827,0.0,0.3673146730612675,-0.21595596029279762,0.0
0.001,W-FRI,timing_score,0.04064962248926873,0.016709747562879906,0.37485859998621546,-0.19122422856272736,19.56128147294481
0.001,W-FRI,top_k,0.01728334793837205,-0.0066565269880167754,0.20527408101476102,-0.24476535209217065,15.696484416933407
0.001,W-FRI,rank_weight,0.03594814567266624,0.012008270746277416,0.3574814284472209,-0.2346072763984136,19.41712981191124
0.001,W-FRI,risk_weight,0.026885002051923124,0.002945127125534297,0.4220698943558816,-0.18846697740354257,2.02000339550806
0.001,ME,equal_weight,0.023939874926388827,0.0,0.3673146730612675,-0.21595596029279762,0.0
0.001,ME,timing_score,0.03341403571453716,0.009474160788148334,0.3826210042864041,-0.18666192605719312,5.359048908010813
0.001,ME,top_k,-0.05755430949023532,-0.08149418441662415,-0.5763246476306219,-0.43770927430820794,5.327893175074184
0.001,ME,rank_weight,-0.010472968061902788,-0.034412842988291614,-0.06323293599759548,-0.3017650947106074,5.770377321764744
0.001,ME,risk_weight,0.03076574416073674,0.006825869234347914,0.47105898743056257,-0.1924744922171281,1.3619076617629253
0.002,D,equal_weight,0.023939874926388827,0.0,0.3673146730612675,-0.21595596029279762,0.0
0.002,D,timing_score,-0.06748387592841143,-0.09142375085480026,-0.3946837631897057,-0.4743749340197878,54.300945447737895
0.002,D,top_k,-0.017871853973161933,-0.04181172889955076,-0.05801817145305333,-0.3673209725668014,42.83988243145822
0.002,D,rank_weight,-0.02917697581171108,-0.05311685073809991,-0.15850347672633547,-0.39086747311816117,49.83688964471792
0.002,D,risk_weight,0.027432158780067883,0.003492283853679057,0.4318496329647097,-0.1907880056965161,3.4252115950005013
0.002,W-FRI,equal_weight,0.023939874926388827,0.0,0.3673146730612675,-0.21595596029279762,0.0
0.002,W-FRI,timing_score,0.020467185956604572,-0.0034726889697842545,0.22193988395889583,-0.2105195097921665,19.56128147294481
0.002,W-FRI,top_k,0.001418122585238768,-0.02252175234115006,0.07045305483201036,-0.2822314732130591,15.696484416933407
0.002,W-FRI,rank_weight,0.016023550435624312,-0.007916324490764515,0.19337846867647115,-0.2664129683844749,19.41712981191124
0.002,W-FRI,risk_weight,0.02481208572154947,0.0008722107951606439,0.39246142076340285,-0.1900165817075079,2.02000339550806
0.002,ME,equal_weight,0.023939874926388827,0.0,0.3673146730612675,-0.21595596029279762,0.0
0.002,ME,timing_score,0.02788811491532872,0.0039482399889398945,0.3281914630634802,-0.1905367882067346,5.359048908010813
0.002,ME,top_k,-0.06256083195926654,-0.08650070688565537,-0.6326057734494136,-0.450491718323241,5.327893175074184
0.002,ME,rank_weight,-0.01616639532453934,-0.04010627025092817,-0.12395909070506901,-0.3192819055296494,5.770377321764744
0.002,ME,risk_weight,0.02936560107842756,0.0054257261520387345,0.45168066426861925,-0.19357435991247074,1.3619076617629253
