,annualized_mean_difference,paired_t_stat,paired_t_pvalue_normal,bootstrap_ci_low,bootstrap_ci_high,bootstrap_probability_positive
timing_score,0.01207861086185936,0.22665523942030671,0.8206918350417224,-0.08766532937476007,0.12442479777546989,0.6125
top_k,-0.010126603849299684,-0.2212229444630563,0.8249188447136364,-0.09293285340699384,0.09323098582822259,0.488
rank_weight,0.006408414685242291,0.14118061682907615,0.887727258223782,-0.08226385146863063,0.10703831315767708,0.612
risk_weight,0.0016578598820529734,0.17830233163552583,0.8584855477756436,-0.018365296588813283,0.026551427657003412,0.616
