,annual_return,annual_volatility,sharpe,max_drawdown,win_rate
timing_strategy,0.030510169201265924,0.12828952612882405,0.298358675490333,-0.19876279794397766,0.5140949554896143
equal_weight_factors,0.02393987492638905,0.07132217728979458,0.3673146730612689,-0.21595596029279884,0.516320474777448
market_proxy,0.12865389992942022,0.18242131429959518,0.7546429293361623,-0.24079576235894073,0.5185459940652819
