,annual_net_return,annual_gross_return,annual_excess_vs_equal,annual_volatility,sharpe,max_drawdown,win_rate,average_daily_turnover,annual_turnover,total_trading_cost
equal_weight,0.023939874926388827,0.023939874926388827,0.0,0.0713221772897944,0.3673146730612675,-0.21595596029279762,0.516320474777448,0.0,0.0,0.0
timing_score,0.030510169201264814,0.06122156328005213,0.006570294274875987,0.12828952612882374,0.2983586754903301,-0.19876279794397744,0.5140949554896143,0.07762413282914607,19.56128147294481,0.15695599658053339
top_k,0.009320555698377309,0.033391795980073136,-0.014619319228011518,0.1166114296403465,0.13781735146790836,-0.25699422586318843,0.5074183976261127,0.06228763657513257,15.696484416933407,0.12594560115491804
rank_weight,0.0259386242987123,0.05625404974634329,0.0019987493723234717,0.1183805102357569,0.27543467124381604,-0.25067698913344527,0.5103857566765578,0.07705210242821921,19.41712981191124,0.15579935110985924
risk_weight,0.025848053635221024,0.02896184391436596,0.0019081787088321978,0.06839627668771123,0.407266937094492,-0.18924214125981276,0.5111275964391692,0.008015886490111349,2.02000339550806,0.016208122483005145
