date,momentum_20,reversal_5,volatility_20,size,liquidity,value_proxy,quality_proxy
2021-01-04,0.0,0.0,0.0,-0.006157018592024277,-0.007174314577892244,0.0,0.0
2021-01-05,0.0,0.0,0.0,-0.022824279649696542,-0.01411827675417883,0.0,0.0
2021-01-06,0.0,0.0,0.0,-0.031183507791762002,-0.03851519505896976,0.0,0.0
2021-01-07,0.0,0.0,0.0,0.005686552881608931,0.005284937157420535,0.0,0.0
2021-01-08,0.0,0.0,0.0,-0.0022048217243084457,0.006798828808844503,0.0,0.0
2021-01-11,0.0,-0.011536729519840524,0.0,-0.01109956380670156,-0.020789636077770537,0.0,0.0
2021-01-12,0.0,-0.011688430964066727,0.0,0.007892352153518236,0.016669224362902958,0.0,0.0
2021-01-13,0.0,0.015492186282796264,0.0,0.02176092461183141,0.03665292709444479,0.0,0.0
2021-01-14,0.0,0.031058070413878647,0.0,-0.002943981948839342,0.0043359316589276845,0.0,0.0
2021-01-15,0.0,-0.023922384101761684,0.0,0.005004259029558219,-0.009613587564923337,0.0,0.0
2021-01-18,0.0,0.006401411271759109,0.0,0.010824959482387424,0.02801155197144747,0.0,0.0
2021-01-19,0.0,0.011053956261932982,0.0,0.0006777520000572912,-0.017190112902553786,0.0,0.0
2021-01-20,0.0,0.004465383918189066,0.0,0.005868593587613758,-0.01627886794657378,0.0,0.0
2021-01-21,0.0,-0.026782421236145333,0.0,-0.011987765322952308,-0.020351193752294286,0.0,0.0
2021-01-22,0.0,-0.0035759015326676754,0.0,-0.013305630529927528,-0.01408765000870263,0.0,0.0
2021-01-25,0.0,0.0071729089533557455,0.0,0.015511624749847727,0.027215502465740272,0.0,0.0
2021-01-26,0.0,-0.005523945487906514,0.0,0.0010301882988748472,0.00027397314951091347,0.0,0.0
2021-01-27,0.0,0.010496476040669701,0.0,0.014036975327963039,0.03182927268347014,0.0,0.0
2021-01-28,0.0,-0.006886277675900421,0.0,-0.009405212578827774,0.002575026721306467,0.0,0.0
2021-01-29,0.0,0.008025705417077646,0.0,-0.0002979399387962739,-0.004986759010667325,0.0,0.0
2021-02-01,0.004131016424695842,0.018316325379849854,-0.028229538258497396,-0.012920306343745191,-0.024860731496378217,0.0,0.0
2021-02-02,0.019560109018256035,-0.02225507259559162,-0.0031053073877923276,-0.014151954629817559,-0.013578388646836666,0.0,0.0
2021-02-03,-0.0008863055806972008,-0.0045550038455991195,0.013059326008002536,-0.011701496377966886,-0.003376623456817383,0.0,0.0
2021-02-04,-0.006627878578958175,-0.007198691505691706,0.038651996937227276,-0.019818793271651623,0.01176644670391802,0.0,0.0
2021-02-05,0.014688547281298169,-0.018003404729079107,-0.019283996931759,-0.0038258543788309667,-0.014523765593091799,0.0,0.0
2021-02-08,4.858549356585168e-05,0.006991023552018742,-0.03890881433753744,0.010256643251434633,-0.016673750823096096,0.0,0.0
2021-02-09,0.003797132424187893,-0.0018280156410162129,-0.014078487959918598,-0.013173014392684783,-0.018873495149737844,0.0,0.0
2021-02-10,-0.017512862750378198,0.02037570818648685,0.0013006113884686723,0.03209497036923506,0.02735980637069569,0.0,0.0
2021-02-18,-0.04381676638316111,0.013319719604964718,0.024530345993116962,0.016753676833953863,0.031177589539272688,0.0,0.0
2021-02-19,-0.011943582813229122,-0.04268691058037918,0.016246591766779825,0.029837932625059675,0.03301997482828796,0.0,0.0
2021-02-22,0.005513769083424312,-0.004938650397008162,0.004537515456583185,0.0012187498362322266,0.0013328602025864961,0.0,0.0
2021-02-23,-0.03337684263098549,-0.0176915548869579,0.03345067771484602,0.02302837884919365,0.037442678977549285,0.0,0.0
2021-02-24,0.0056554741309841625,-0.011503240398111597,0.022161246066098626,-0.013795133743169503,0.006637246955396657,0.0,0.0
2021-02-25,-0.0050671375286908266,-0.005057218056331109,0.010082107896093253,0.012554710361206992,0.01716436031299941,0.0,0.0
2021-02-26,-0.0034792534356027326,0.009750089047757279,-0.030547253175469875,0.015171259852527617,-0.011443163918347822,0.0,0.0
2021-03-01,-0.01037956844886724,-0.015168885069986208,0.010923165726278734,0.009455195149583302,0.010706392899539296,0.0,0.0
2021-03-02,0.02061254670385592,0.01030701905926874,-0.0010342151604426468,-0.004844287146504474,0.0006031553131341898,0.0,0.0
2021-03-03,0.03650141489882408,-0.03284167699608215,0.03183742761025028,0.016420535382710585,0.03503271733358955,0.0,0.0
2021-03-04,-0.026839991761611327,0.011294069023493716,0.013822012497325772,0.010989268881977956,0.0173558388579027,0.0,0.0
2021-03-05,0.03962913053790209,-0.03483875365951039,0.044481000028452615,0.009129639596884984,0.03548236041708133,0.0,0.0
2021-03-08,0.009533679653939822,-0.004074354290962812,0.0268742855588159,-0.01549104945010912,0.011878950763013195,0.0,0.0
2021-03-09,-0.033208211318918504,0.029627900831411043,-0.021021716730268383,-0.01581040309097586,-0.024431802315266135,0.0,0.0
2021-03-10,0.004459907092432214,0.01846798872538431,-0.03348280594237749,0.006175204765613514,-0.012504496817986627,0.0,0.0
2021-03-11,0.010060509727000753,-0.017990083507771672,0.0016636155079458592,-0.005690841731821598,-0.0033602260943424314,0.0,0.0
2021-03-12,0.03806531320567473,-0.030008616627018286,0.03172755455710203,0.0015545788463966585,0.02199825379732962,0.0,0.0
2021-03-15,-0.010056170377541132,0.001005367352875514,0.004167659594021496,-0.007968749352988485,0.0031354024953507767,0.0,0.0
2021-03-16,-0.029423376680150794,0.013441318366535079,-0.016126145322827357,0.007862336772077065,-0.008866177562005313,0.0,0.0
2021-03-17,-0.016577009579568997,-0.007664990722820456,-0.013456730568356303,0.001308586215967026,-0.009854282128053692,0.0,0.0
2021-03-18,0.020728068031112802,0.008603653504206166,0.01703202542156706,0.02389008198975766,0.028946620315746848,0.0,0.0
2021-03-19,0.013928326753286695,-0.011012361324861043,0.006716556973413454,0.009668736603758929,0.006413715807464407,0.0,0.0
