date,timing_strategy,equal_weight_factors,market_proxy,turnover
2021-01-04,-0.0019044761671309315,-0.0019044761671309315,0.0,0.0
2021-01-05,-0.0052775080576964815,-0.0052775080576964815,0.014252087243321871,0.0
2021-01-06,-0.009956957550104537,-0.009956957550104537,0.0034395656913340264,0.0
2021-01-07,0.0015673557198613523,0.0015673557198613523,0.010090250188194441,0.0
2021-01-08,0.0006562867263622939,0.0006562867263622939,0.0027964614953857095,0.0
2021-01-11,-0.00620370420061609,-0.006203704200616089,-0.011586405303064375,1.942890293094024e-16
2021-01-12,0.0018390207931934957,0.0018390207931934953,0.022343549953987837,0.0
2021-01-13,0.010558005427010353,0.010558005427010351,0.0018917024610940216,0.0
2021-01-14,0.004635717160566714,0.004635717160566712,-0.010535307661374045,0.0
2021-01-15,-0.004075958948160973,-0.004075958948160972,-0.002841541842107584,0.0
2021-01-18,0.006462560389370573,0.006462560389370571,0.013950443428934865,0.0
2021-01-19,-0.0007797720915090731,-0.0007797720915090732,-0.011902308146263477,0.0
2021-01-20,-0.0008492700629672795,-0.0008492700629672793,0.008865040939807717,0.0
2021-01-21,-0.00844591147305599,-0.008445911473055989,0.01519156734634459,0.0
2021-01-22,-0.004424168867328262,-0.004424168867328262,-0.004803774537601043,0.0
2021-01-25,0.007128576595563393,0.007128576595563392,0.0036980274360128664,0.0
2021-01-26,-0.0006028262913601078,-0.0006028262913601077,-0.015226945464912796,0.0
2021-01-27,0.008051817721728983,0.008051817721728983,0.004004002131680104,0.0
2021-01-28,-0.001959494790488818,-0.0019594947904888185,-0.025944008234306405,0.0
2021-01-29,0.0003915723525162924,0.00039157235251629244,-0.006929839337943352,0.0
2021-02-01,-0.006223319184867873,-0.006223319184867872,0.008626978716057087,0.0
2021-02-02,-0.0047900877488260205,-0.00479008774882602,0.013419276240027925,0.0
2021-02-03,-0.0010657290361540076,-0.0010657290361540076,-0.007829771231083527,0.0
2021-02-04,0.0023961543264062564,0.002396154326406256,-0.009567516443176785,0.0
