date,timing_strategy,equal_weight_factors,market_proxy,turnover,fold,candidate
2023-08-09,0.0022819234798567194,0.0008186325474100689,-0.00694150304321619,0.0,1,momentum_defensive
2023-08-10,0.0006476393683426864,9.622341657438257e-06,0.004501617020115588,0.0,1,momentum_defensive
2023-08-11,-0.006993513978682161,-0.004991175038714518,-0.022409228776591142,0.0,1,momentum_defensive
2023-08-14,-7.322792214731135e-05,0.00031310641054511104,-0.0019448452258914036,0.5,1,momentum_defensive
2023-08-15,0.008486692686256306,0.003839848955076765,-0.002907236078514659,0.0,1,momentum_defensive
2023-08-16,-0.0015279182854564086,-0.0003566047169989924,-0.009702744003333817,0.0,1,momentum_defensive
2023-08-17,0.010356451374206809,0.004407484461942943,0.004501682348813047,0.0,1,momentum_defensive
2023-08-18,-0.0016227711412377934,-0.0007904737565684967,-0.014091715565502594,0.0,1,momentum_defensive
2023-08-21,-0.018250530843991527,-0.005726512627106721,-0.013151017303622115,0.24918944496667736,1,momentum_defensive
2023-08-22,0.013317322641783414,0.005494841105434541,0.011608413609813593,0.0,1,momentum_defensive
2023-08-23,-0.004316374283403277,-0.0006598199523492577,-0.018786812329858012,0.0,1,momentum_defensive
2023-08-24,0.01596768849572851,0.006394386893406522,0.004440527016921773,0.0,1,momentum_defensive
2023-08-25,-0.005449438568934379,-0.003354139580990244,-0.009235879668040611,0.0,1,momentum_defensive
2023-08-28,-0.007313049890106487,-0.0006245613656635482,0.012044927874311231,0.5,1,momentum_defensive
2023-08-29,-0.008114051172514654,-0.003327671717696976,0.013562632725514799,0.0,1,momentum_defensive
2023-08-30,-0.0018746355754102654,-0.0011433453954508795,0.0022013343562796057,0.0,1,momentum_defensive
2023-08-31,0.006890127913522885,0.0029379639591593293,-0.004573644675387372,0.0,1,momentum_defensive
2023-09-01,-0.0020510946988585325,-0.003054731508994028,0.005164206440144817,0.0,1,momentum_defensive
2023-09-04,0.0038010534444402585,0.0037887926036125935,0.014261348643665095,0.5,1,momentum_defensive
2023-09-05,-0.005303418968167574,-0.0023684685552482388,-0.007156743809232996,0.0,1,momentum_defensive
2023-09-06,0.007937650720987028,0.0047923036994637165,-0.0007798880587003313,0.0,1,momentum_defensive
2023-09-07,0.000767348231843596,0.0023695222358270087,-0.014332449753681392,0.0,1,momentum_defensive
2023-09-08,-0.0015103116757836836,-0.0037357943065287613,-0.0016460727624835027,0.0,1,momentum_defensive
2023-09-11,0.0008336713937180688,8.699188267700397e-05,0.010414356604490678,0.5,1,momentum_defensive
2023-09-12,0.00985125233972428,0.007420782909050699,-0.0011442855878678513,0.0,1,momentum_defensive
2023-09-13,-0.0005657328029659615,0.003111951375604158,-0.008598196126813123,0.0,1,momentum_defensive
2023-09-14,0.004265014036118137,0.0044440061985128705,0.00014510556717664986,0.0,1,momentum_defensive
2023-09-15,0.0005834889030957678,0.0008370117856752095,-0.004737437578279057,0.0,1,momentum_defensive
2023-09-18,-0.006273716317455528,-0.0003832595393970517,0.001148247284583798,0.4083680080825552,1,momentum_defensive
2023-09-19,-0.003617302767411932,-0.00099131057858198,-0.0023929423371169974,0.0,1,momentum_defensive
2023-09-20,-0.0009247028865996569,-0.0014450919283634735,-0.004934864894489489,0.0,1,momentum_defensive
2023-09-21,-0.00494586318656894,-0.01459189548955859,-0.006471488717127748,0.0,1,momentum_defensive
2023-09-22,0.006542474369650938,0.005520824682241893,0.018911504727478354,0.0,1,momentum_defensive
2023-09-25,-0.010251431375667345,-0.006572885214084029,-0.006703958469728825,0.2079862245407692,1,momentum_defensive
2023-09-26,0.003844986651471635,-0.0002041246544827646,-0.0033825435254138747,0.0,1,momentum_defensive
2023-09-27,1.0466033712219964e-05,-0.0010152355004491294,0.0019234916409687013,0.0,1,momentum_defensive
2023-09-28,-0.0014282639841805501,-0.00019919783373341084,0.001225200162697243,0.0,1,momentum_defensive
2023-10-09,0.00022116630228093896,0.0009901656285602645,-0.00017080745595441572,0.5000000000000001,1,momentum_defensive
2023-10-10,-0.007530360579536363,-0.007251727386751177,-0.005821217982535719,0.0,1,momentum_defensive
2023-10-11,0.007436257629914349,0.0032337845006769916,0.0012413880510500446,0.0,1,momentum_defensive
2023-10-12,-0.0029850984873624202,0.004155159253633654,0.00940609435582169,0.0,1,momentum_defensive
2023-10-13,0.0015504168008052004,0.005108092604148813,-0.009844325394241318,0.0,1,momentum_defensive
2023-10-16,-0.0029650477372346667,-0.00011169443554528211,-0.008404186788820264,0.5,1,momentum_defensive
2023-10-17,-0.003035313622435819,0.0017057407514463024,0.004104875236986054,0.0,1,momentum_defensive
2023-10-18,0.004139452993967679,-0.0007633470572848656,-0.009703173604608817,0.0,1,momentum_defensive
2023-10-19,0.007435121430876476,0.00434794810142595,-0.015507091545421403,0.0,1,momentum_defensive
2023-10-20,-0.005975603536077836,0.0013009746761321816,-0.0077588281458324596,0.0,1,momentum_defensive
2023-10-23,0.005525508975438281,0.005342679353066398,-0.015042700996491774,0.5,1,momentum_defensive
2023-10-24,0.0035974389838233835,0.003062396723455506,0.0076523980978091665,0.0,1,momentum_defensive
2023-10-25,0.0012828306899146991,0.0001353972714749962,0.005212876885986664,0.0,1,momentum_defensive
2023-10-26,-0.0007233621310202736,-0.0003009288303719789,0.005045096832535883,0.0,1,momentum_defensive
2023-10-27,-0.00630241680209885,-0.004629527253159668,0.012239891648206123,0.0,1,momentum_defensive
2023-10-30,0.0009290542573154733,0.0023861622556566077,0.006304669451827201,0.5,1,momentum_defensive
2023-10-31,0.00014488286655570175,0.0005198127581125327,-0.002945218081991827,0.0,1,momentum_defensive
2023-11-01,-0.00013146287281609386,0.0004292603423820607,-0.004167527415217127,0.0,1,momentum_defensive
2023-11-02,-0.004137900011959656,-0.00510613682640515,-0.006115555166459885,0.0,1,momentum_defensive
2023-11-03,-0.004991465774733778,-0.007419776987980216,0.009422975044928164,0.0,1,momentum_defensive
2023-11-06,-0.009861380970283978,-0.006829512476566227,0.015207152991213247,0.5,1,momentum_defensive
2023-11-07,-0.0016755084898750438,-0.0017081689587282426,0.0007039518808958548,0.0,1,momentum_defensive
2023-11-08,0.0020982013439193887,-0.0014369765873064942,-0.0017790014986724806,0.0,1,momentum_defensive
2023-11-09,0.002375541458153102,0.00377966919802954,0.0008046373672155845,0.0,1,momentum_defensive
2023-11-10,-0.004692524155100619,-0.003278260071834565,-0.004670790868160215,0.0,1,momentum_defensive
2023-11-13,-0.004086510659753991,-0.00010422403062301397,0.0030472563830798317,0.5,1,momentum_defensive
2023-11-14,0.005644581371378334,-0.00014453941633267884,0.0030938193266259427,0.0,1,momentum_defensive
2023-11-15,-0.001238842019033154,0.0018228830484681151,0.006193450598153228,0.0,1,momentum_defensive
2023-11-16,-0.003140914538163202,-0.0012854361603652474,-0.009529706494136989,0.0,1,momentum_defensive
2023-11-17,9.514199636055908e-05,0.000196354154704128,0.002310649129361019,0.0,1,momentum_defensive
2023-11-20,-0.0010644809197592467,-0.00025200568983751456,0.002173231647287225,0.49999999999999994,1,momentum_defensive
2023-11-21,-0.00428787050085886,0.0010784045740761176,-0.002001386849336053,0.0,1,momentum_defensive
2023-11-22,0.0029767071214560153,0.001210583420192503,-0.010546231812864324,0.0,1,momentum_defensive
2023-11-23,-0.005106953326727166,0.0004534921157428997,0.006584507552968096,0.0,1,momentum_defensive
2023-11-24,-0.0036436261124891136,0.001278447137141396,-0.009339566935980204,0.0,1,momentum_defensive
2023-11-27,0.000275380908556651,0.000413905726434977,-0.002823676216466673,0.35260316862895813,1,momentum_defensive
2023-11-28,-0.003964702310912219,0.0012084064173300507,0.00137757905106852,0.0,1,momentum_defensive
2023-11-29,-0.0052706708367127875,-0.0003337660468748269,-0.007035799465526341,0.0,1,momentum_defensive
2023-11-30,0.005744288421138586,-0.0011406111822975281,0.002090840751972505,0.0,1,momentum_defensive
2023-12-01,-0.0026808704933114214,0.0012518609677453342,0.0017947856628966914,0.0,1,momentum_defensive
2023-12-04,0.0008687556165379766,0.0037738659691090317,-0.0024077339799615967,0.5000000000000001,1,momentum_defensive
2023-12-05,0.0017373272893348697,-0.0020337296731878863,-0.018394595192185517,0.0,1,momentum_defensive
2023-12-06,-0.0019117227280808693,-0.002617046830907099,0.001699518949769914,0.0,1,momentum_defensive
2023-12-07,-0.00034321432665367405,-0.005772651429759347,0.0004471557473109821,0.0,1,momentum_defensive
2023-12-08,0.002784651212239189,0.0008791939115347895,0.007245760471374338,0.0,1,momentum_defensive
2023-12-11,-0.005191567166376572,0.0006115654120265723,0.008584006660325211,0.5,1,momentum_defensive
