sample,Cumulative Return,Annualized Return,Annualized Volatility,Max Drawdown,Sharpe Ratio,Sortino Ratio,Information Ratio,Win Rate,Alpha,Beta
Full sample,0.6856338186985884,0.12303122125727439,0.12753204825297454,-0.1274227548133613,0.9647082670014658,1.9503069564501738,-0.1036606772331107,0.6481481481481481,0.05901975806264337,0.47272556160485935
In sample,0.6222813069715087,0.1804382027739735,0.1319666372614273,-0.08198336164251474,1.3673016644087361,3.723060839625953,0.45715079332073777,0.6571428571428571,0.11245403051787117,0.5273412747108593
Out of sample,0.03905149585021572,0.024489765845779665,0.11750750913506303,-0.1274227548133613,0.2084102201301123,0.29004754318616677,-0.9528197925109305,0.631578947368421,-0.02111191198825186,0.2989322215427605
