date,size_exposure
2022-02-28,0.1499999999999998
2022-03-31,0.14999999999999986
2022-04-30,0.15000000000000002
2022-05-31,0.15000000000000002
2022-06-30,0.15000000000000022
2022-07-31,0.15000000000000016
2022-08-31,0.14999999999999974
2022-09-30,0.1499999999999995
2022-10-31,0.14999999999999997
2022-11-30,0.15000000000000024
2022-12-31,0.15000000000000024
2023-01-31,0.1500000000000002
2023-02-28,0.15000000000000033
2023-03-31,0.14999999999999986
2023-04-30,0.15000000000000002
2023-05-31,0.14999999999999986
2023-06-30,0.15000000000000036
2023-07-31,0.14999999999999972
2023-08-31,0.14999999999999997
2023-09-30,0.14999999999999944
2023-10-31,0.15000000000000005
2023-11-30,0.1500000000000006
2023-12-31,0.14999999999999974
2024-01-31,0.14999999999999983
2024-02-29,0.15000000000000016
2024-03-31,0.1499999999999997
2024-04-30,0.1499999999999999
2024-05-31,0.1499999999999998
2024-06-30,0.15000000000000002
2024-07-31,0.15000000000000008
2024-08-31,0.15000000000000008
2024-09-30,0.10895539332918534
2024-10-31,-0.15000000000000008
2024-11-30,-0.14999999999999986
2024-12-31,-0.14999999999999974
2025-01-31,0.11967350618404848
2025-02-28,0.11287208271487581
2025-03-31,0.14999999999999997
2025-04-30,0.020670298590044378
2025-05-31,0.10072968928701997
2025-06-30,0.06872672401678442
2025-07-31,0.1499999999999997
2025-08-31,0.1499999999999998
2025-09-30,0.14999999999999997
2025-10-31,0.15000000000000013
2025-11-30,0.14999999999999974
2025-12-31,0.14999999999999952
2026-01-31,0.14999999999999986
2026-02-28,0.14999999999999963
2026-03-31,0.15000000000000008
2026-04-30,0.14999999999999947
2026-05-31,0.15000000000000052
2026-06-30,0.1499999999999998
2026-07-31,0.15000000000000008
