,value
Cumulative Return,0.6856338186985884
Annualized Return,0.12303122125727439
Annualized Volatility,0.12753204825297454
Max Drawdown,-0.1274227548133613
Sharpe Ratio,0.9647082670014658
Sortino Ratio,1.9503069564501738
Information Ratio,-0.1036606772331107
Win Rate,0.6481481481481481
Alpha,0.05901975806264337
Beta,0.47272556160485935
