date,turnover
2022-02-28,1.0000000000000002
2022-03-31,0.592964183658254
2022-04-30,0.5001332944807425
2022-05-31,0.48538405356106384
2022-06-30,0.5076143494000517
2022-07-31,0.48698005660528876
2022-08-31,0.53572345254218
2022-09-30,0.7169164727146956
2022-10-31,0.37530809266870513
2022-11-30,0.3754590967683305
2022-12-31,0.5454796798750903
2023-01-31,0.3368091623610897
2023-02-28,0.9417684253636035
2023-03-31,0.5061008552205342
2023-04-30,0.5880292275199228
2023-05-31,0.6194431838660337
2023-06-30,0.48660979169018986
2023-07-31,0.23933772765726752
2023-08-31,0.9750867599742848
2023-09-30,0.8362679287885515
2023-10-31,0.28423748395752524
2023-11-30,0.5076257025611748
2023-12-31,0.16152483542802587
2024-01-31,0.5554759188427457
2024-02-29,0.3165481548122842
2024-03-31,0.8099956588005257
2024-04-30,0.28994532592848177
2024-05-31,0.3805595433972314
2024-06-30,0.45470232287405776
2024-07-31,0.7467809218130746
2024-08-31,0.6015207606335782
2024-09-30,0.9322872892405737
2024-10-31,0.8555870581319939
2024-11-30,0.9110852182554864
2024-12-31,0.5784611862565625
2025-01-31,0.6452886286922357
2025-02-28,0.6082206847775617
2025-03-31,0.4804172750169498
2025-04-30,0.5629959202331806
2025-05-31,0.5610904322089312
2025-06-30,0.7015498328620511
2025-07-31,0.5427635035745413
2025-08-31,0.7613233847216127
2025-09-30,0.7751173546790016
2025-10-31,0.3502081159456421
2025-11-30,0.5084260549292238
2025-12-31,0.23224372791415565
2026-01-31,0.6409549081261654
2026-02-28,0.42665013482325187
2026-03-31,0.34601508595594366
2026-04-30,0.47523958392904286
2026-05-31,0.3926557811588899
2026-06-30,0.29145015742327757
2026-07-31,0.5586701704291938
