factor,importance
alpha033,0.13250148899964792
alpha013,0.11931597511483091
alpha014,0.1119330803343599
alpha041,0.11120418236281183
alpha022,0.08972312830852786
alpha006,0.08659693584063802
alpha038,0.06792471410620117
alpha009,0.06674235264601443
alpha018,0.06312131650554234
alpha043,0.050332566910964174
alpha003,0.044703379900285216
alpha011,0.03676304471343207
alpha040,0.019137834256744125
