test_year,backend,objective,selected_features,model_dimensions,train_start,train_end,validation_start,validation_end,train_samples,validation_samples,validation_rmse,validation_mae,validation_ic,test_rmse,test_mae,mean_monthly_ic,monthly_icir
2024,xgboost,rank:pairwise,21,10,2018-01-31,2022-12-30,2023-01-31,2023-11-30,15756,3252,0.2886437054038578,0.24998273254469427,0.044117354705632154,0.2887407571537302,0.25005172023236594,-0.013531081168045129,-0.12422251063286789
2025,xgboost,rank:pairwise,20,20,2018-01-31,2023-12-29,2024-01-31,2024-11-29,19305,3262,0.29078217506352577,0.2515676313365204,0.016792639500704167,0.29062886288497675,0.2509571311261918,0.01762887508621232,0.13503547833038027
2026,xgboost,rank:pairwise,22,22,2018-01-31,2024-12-31,2025-01-27,2025-11-28,22865,3276,0.2885609773100582,0.24981287812564107,0.021672334635883476,0.28834393186210466,0.2495591481917846,0.056961718485028255,0.22079733561483714
