test_year,alpha006__lag_07,alpha013__lag_11,alpha014__lag_07,alpha041__lag_14,alpha033__lag_51,alpha022__lag_55,alpha003__lag_08,alpha006__lag_06,alpha013__lag_29,alpha014__lag_09,alpha041__lag_51,alpha033__lag_32,alpha022__lag_56,alpha003__lag_09,alpha006__lag_09,alpha013__lag_10,alpha014__lag_06,alpha041__lag_48,alpha033__lag_07,alpha022__lag_50,alpha003__lag_07,alpha043__lag_02,alpha011__lag_14,alpha038__lag_32,alpha018__lag_51,alpha009__lag_48,alpha043__lag_01,alpha011__lag_17,alpha038__lag_43,alpha014__lag_23,alpha018__lag_06,alpha009__lag_06,alpha041__lag_00,alpha018__lag_07,alpha038__lag_31,alpha009__lag_37,alpha040__lag_06,alpha013__lag_00,alpha033__lag_37,alpha018__lag_00,alpha038__lag_37,alpha043__lag_14,alpha009__lag_07,alpha040__lag_23
2024,0.02930727261759615,0.04726509575628638,0.029874968196092536,0.07074454522939128,0.04533720607683899,0.04318746589543056,0.046871188596281116,0.0417019670852457,0.05478602999499858,0.05467717487232454,0.04130285440153874,0.04255196826874492,0.04050408207028408,0.03920290370975712,0.05016020663089767,0.047441245143598834,0.04649140807434051,0.07229100959399423,0.072542938212783,0.03572242217875753,0.048036047394817406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,0.0,0.05944374177609626,0.0861428098731839,0.0,0.04169024992576056,0.04365118672802537,0.0,0.0,0.05047031898623056,0.0,0.025447409756282808,0.04989475794842227,0.06248088134580901,0.0,0.0,0.0,0.0,0.04498620774689414,0.0,0.0,0.0,0.05798415450858034,0.06559890068776826,0.06065533648507276,0.0573118551387884,0.01240483401981364,0.028814563458181387,0.04469023345252796,0.05925136407269331,0.04698634577634102,0.036920295415202836,0.0651745528983252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.04757061383597545,0.05923035843084793,0.03347104635082067,0.0,0.0305625670612177,0.0,0.0771375859344921,0.0,0.0,0.0,0.0,0.01306077964605931,0.0,0.061483775253682406,0.0,0.012396175779949302,0.0,0.11413133368600593,0.0,0.0,0.019146378209653744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04536947400951365,0.04017911295520465,0.04233960614107484,0.06500383914896463,0.0170484158812348,0.05097087985130668,0.03135601288038806,0.05495268600743113,0.04152783561976259,0.04505260455647705,0.057643831870939806,0.04036508688899758
