strategy,annual_return,sharpe,max_drawdown,information_ratio,average_turnover,win_rate,average_return,total_cost,annual_return_ci_low,annual_return_ci_high,ir_ci_low,ir_ci_high
ML,0.02581020259432587,0.27590724672287587,-0.1525765278922201,0.27590724672287587,0.30000000000000004,0.5,0.0026335037474878057,0.023399999999999997,-0.06835012416728838,0.1428776690181653,-0.8410433522381596,1.3071713179535371
Equal weight,-0.07762940568027554,-0.4543546767148116,-0.318737334493036,-0.4543546767148116,0.30000000000000004,0.4666666666666667,-0.0057852508449790134,0.023399999999999997,-0.21485090205803895,0.10653350937242778,-1.7880197226359602,0.656837902309979
ICIR weight,-0.0675767013478692,-0.5121922485630596,-0.2702686903532433,-0.5121922485630596,0.30000000000000004,0.36666666666666664,-0.005211443942312423,0.023399999999999997,-0.18795827966435633,0.08832372574610718,-1.8048215202290576,0.745120420951127
Single: alpha041,0.004639886049017994,0.10515381489686486,-0.11815551370025845,0.10515381489686486,0.30000000000000004,0.4666666666666667,0.0005371202320905626,0.023399999999999997,-0.07782868227874616,0.08434156697678122,-1.35456265578371,1.4660112804604102
