date,spearman_ic
2024-01-31,-0.23106588415806267
2024-02-29,-0.025601984121378735
2024-03-29,0.018090375914892133
2024-04-30,-0.0469724347441972
2024-05-31,-0.0793649420248557
2024-06-28,0.06991117724623569
2024-07-31,0.07370548491469303
2024-08-30,0.2027205525843153
2024-09-30,-0.12080408872691996
2024-10-31,0.04149490621343035
2024-11-29,-0.028977642543053052
2024-12-31,-0.03550849457164069
2025-01-27,-0.11420049486802558
2025-02-28,0.05281297001269808
2025-03-31,0.06652569268699383
2025-04-30,-0.03822738585772294
2025-05-30,-0.02556947663625387
2025-06-30,0.07752501318869302
2025-07-31,0.10612532671556252
2025-08-29,-0.03749664011481927
2025-09-30,-0.03962010401126698
2025-10-31,0.3523730939973926
2025-11-28,-0.03684264167745367
2025-12-31,-0.15185885240124988
2026-01-30,0.07690621890876441
2026-02-27,0.17849241036105276
2026-03-31,0.08425478095692658
2026-04-30,-0.13055651659991352
2026-05-29,-0.3088446195493329
2026-06-30,0.4415180368326722
