split,feature,mean,std,missing_rate,test_year
train,alpha006__lag_07,6.221779765701722e-05,0.9980161082077761,0.0033003300330033004,2024
train,alpha013__lag_11,0.000831436286716927,0.9978854093420774,0.00310992637725311,2024
train,alpha014__lag_07,-8.052520075910594e-06,0.9979736200007865,0.0033003300330033004,2024
train,alpha041__lag_14,0.0002173795243526487,0.9980500667106538,0.0030464584920030465,2024
train,alpha033__lag_51,0.003334520938415468,0.9984874357234079,0.009837522213759838,2024
train,alpha022__lag_55,-0.002103652950906459,0.9969780829391135,0.014534145722264535,2024
train,alpha003__lag_08,2.6379088760263123e-05,0.997938132714796,0.016755521706016754,2024
train,alpha006__lag_06,0.00047284720990129685,0.9984472156124866,0.00310992637725311,2024
train,alpha013__lag_29,-0.0021516605461421746,0.9987740333190425,0.006537192180756537,2024
train,alpha014__lag_09,-0.0011518505134605005,0.9979548148298095,0.0034907336887534906,2024
train,alpha041__lag_51,0.0006810170002163149,0.9987982697175454,0.009837522213759838,2024
train,alpha033__lag_32,0.0009230361421156676,0.9974979155121517,0.006283320639756283,2024
train,alpha022__lag_56,-0.0024543127180877227,0.9974787942951977,0.014470677837014471,2024
train,alpha003__lag_09,-0.000953875997506495,0.9978360469974805,0.016184310738766184,2024
train,alpha006__lag_09,-0.00159926319717189,0.998061496902124,0.0034907336887534906,2024
train,alpha013__lag_10,-1.807929841207258e-05,0.9977504259912965,0.0030464584920030465,2024
train,alpha014__lag_06,0.00028998248435482214,0.997677989672436,0.00310992637725311,2024
train,alpha041__lag_48,0.0023303398615162154,0.9979949421719571,0.009266311246509267,2024
train,alpha033__lag_07,0.0008023605724358921,0.997950375660519,0.0013328255902513328,2024
train,alpha022__lag_50,0.0037287952414973005,0.9991831452226819,0.013455191673013456,2024
train,alpha003__lag_07,-0.00017155834622505287,0.9977594323107911,0.014914953033764914,2024
validation,alpha006__lag_07,-0.0005106608826667696,0.9988085389719782,0.0006150061500615006,2024
validation,alpha013__lag_11,-0.00019840741929199622,0.9990166060932884,0.0006150061500615006,2024
validation,alpha014__lag_07,-0.00043869478782764356,0.99869375994438,0.0006150061500615006,2024
validation,alpha041__lag_14,-9.420832343964054e-05,0.9985025243620163,0.0006150061500615006,2024
validation,alpha033__lag_51,0.0019705599250078175,0.9970253697272716,0.0033825338253382535,2024
validation,alpha022__lag_55,0.00013457994137659605,0.9981755285342407,0.005535055350553505,2024
validation,alpha003__lag_08,-0.0010089102741380857,0.9988504086234574,0.0544280442804428,2024
validation,alpha006__lag_06,0.0001050417204353865,0.9984904338742854,0.0006150061500615006,2024
validation,alpha013__lag_29,0.0003537459816856793,0.9984672109811179,0.0018450184501845018,2024
validation,alpha014__lag_09,-0.000863668023433062,0.998989702724242,0.0009225092250922509,2024
validation,alpha041__lag_51,0.0006560483219622669,0.9978940944537477,0.0033825338253382535,2024
validation,alpha033__lag_32,-0.0009563212267526728,0.9983753612534845,0.0015375153751537515,2024
validation,alpha022__lag_56,-0.0018740471280631887,0.9976568079506827,0.005842558425584256,2024
validation,alpha003__lag_09,-0.000839314255108883,0.9988133258205668,0.04428044280442804,2024
validation,alpha006__lag_09,-0.0006680956344766672,0.9986227223631569,0.0009225092250922509,2024
validation,alpha013__lag_10,-0.0009554204653400596,0.9984187455418813,0.0006150061500615006,2024
validation,alpha014__lag_06,-4.169457096957666e-05,0.9984619787164594,0.0006150061500615006,2024
validation,alpha041__lag_48,0.0022872931602814957,0.997927189623263,0.0033825338253382535,2024
validation,alpha033__lag_07,-0.000248445240031179,0.9982598917275076,0.0,2024
validation,alpha022__lag_50,0.0015437910363663167,0.9983897602069239,0.006150061500615006,2024
validation,alpha003__lag_07,-0.0006494606442913886,0.9987285979249666,0.05627306273062731,2024
train,alpha041__lag_48,0.002263924039795687,0.9979708046391507,0.008132608132608132,2025
train,alpha022__lag_55,-0.0016572698229534411,0.9971535760263338,0.012794612794612794,2025
train,alpha013__lag_11,0.0006121262686563262,0.9980137702489246,0.002641802641802642,2025
train,alpha033__lag_51,0.003184433086287893,0.9982250102291769,0.0085988085988086,2025
train,alpha043__lag_02,0.00010722728537239616,0.9983380130263322,0.006475006475006475,2025
train,alpha011__lag_14,0.0006766214584712079,0.9976694250930302,0.002797202797202797,2025
train,alpha038__lag_32,0.00011447249639502887,0.9971226744535318,0.006630406630406631,2025
train,alpha014__lag_07,-2.9325492521781193e-05,0.9980584570191662,0.002797202797202797,2025
train,alpha018__lag_51,0.003383327892689927,0.9988574951978377,0.009634809634809635,2025
train,alpha009__lag_48,0.0006546814654030075,0.9981163036183504,0.008236208236208237,2025
train,alpha041__lag_51,0.0007011990902363181,0.9986014352204967,0.0085988085988086,2025
