date,gross_return,cost,net_return,turnover
2024-01-31,0.014380123973671687,0.0007800000000000001,0.013600123973671687,0.30000000000000004
2024-02-29,0.0009078326268889814,0.0007800000000000001,0.0001278326268889813,0.30000000000000004
2024-03-29,5.5562076524279854e-05,0.0007800000000000001,-0.0007244379234757202,0.30000000000000004
2024-04-30,0.010405845769890787,0.0007799999999999998,0.009625845769890787,0.29999999999999993
2024-05-31,-0.007569262557629785,0.0007800000000000001,-0.008349262557629784,0.30000000000000004
2024-06-28,0.008671113949101314,0.0007800000000000001,0.007891113949101315,0.30000000000000004
2024-07-31,0.028029264185005058,0.00078,0.02724926418500506,0.3
2024-08-30,-0.08909291002567905,0.0007799999999999998,-0.08987291002567906,0.29999999999999993
2024-09-30,-0.040228243920193724,0.0007800000000000001,-0.04100824392019373,0.30000000000000004
2024-10-31,0.007633573648109687,0.00078,0.0068535736481096865,0.3
2024-11-29,0.02834064790229018,0.0007800000000000001,0.02756064790229018,0.30000000000000004
2024-12-31,-0.019197569416560888,0.0007800000000000001,-0.019977569416560887,0.30000000000000004
2025-01-27,-0.026299878422347652,0.00078,-0.02707987842234765,0.3
2025-02-28,0.00926371946107702,0.0007800000000000001,0.008483719461077021,0.30000000000000004
2025-03-31,0.001737499231731607,0.00078,0.000957499231731607,0.3
2025-04-30,0.011989080877709401,0.00078,0.011209080877709401,0.3
2025-05-30,-0.01935236127311054,0.00078,-0.02013236127311054,0.3
2025-06-30,-0.01639849207795737,0.0007800000000000001,-0.01717849207795737,0.30000000000000004
2025-07-31,-0.0915815847629069,0.0007799999999999998,-0.0923615847629069,0.29999999999999993
2025-08-29,-0.028974894342894804,0.00078,-0.029754894342894803,0.3
2025-09-30,0.050634433754529404,0.0007799999999999998,0.0498544337545294,0.29999999999999993
2025-10-31,0.01604825166482754,0.00078,0.01526825166482754,0.3
2025-11-28,-0.03743240110509011,0.0007799999999999998,-0.03821240110509011,0.29999999999999993
2025-12-31,-0.05395349391928225,0.0007799999999999998,-0.054733493919282256,0.29999999999999993
2026-01-30,-0.015069335606966886,0.0007800000000000001,-0.015849335606966886,0.30000000000000004
2026-02-27,0.054057345807398585,0.00078,0.05327734580739858,0.3
2026-03-31,-0.04261292301209303,0.0007800000000000001,-0.043392923012093035,0.30000000000000004
2026-04-30,-0.005124607683116046,0.00078,-0.0059046076831160465,0.3
2026-05-29,-0.04237963500644302,0.00078,-0.04315963500644302,0.3
2026-06-30,0.14295577285414618,0.0007800000000000001,0.14217577285414618,0.30000000000000004
